game,hdr,scene_type,preset,run,avg_cpu_usage,avg_cpu_package,avg_gpu_temp,avg_gpu_load,avg_fps,avg_1percent_low_fps,avg_1percent_high_frame_time
KCD2,On,Dark,High,2,45.287012987012986,43.96103896103896,70.04285714285714,100.0,72.64285714285714,71.04415584415584,14.25155844155844
KCD2,On,Dark,Low,1,44.444,46.42666666666667,70.20933333333333,99.98666666666666,107.44533333333332,104.976,9.8264
KCD2,On,Dark,Low,2,44.92236842105263,45.36842105263158,69.67763157894737,99.94736842105263,107.3328947368421,105.04078947368421,9.758552631578947
KCD2,On,Dark,Medium,1,44.57142857142857,45.357142857142854,70.14571428571428,99.94285714285714,88.20285714285714,86.38857142857142,11.748285714285714
KCD2,On,Dark,Medium,2,45.662499999999994,45.09722222222222,70.03888888888889,100.0,89.01388888888889,87.60833333333333,11.507361111111111
RE9,Off,Bright,High,1,37.95970149253731,43.3134328358209,72.27910447761194,97.55223880597015,102.55223880597015,81.73432835820896,11.209850746268655
RE9,Off,Bright,High,2,37.42166666666667,43.81666666666667,72.72833333333332,97.45,102.64166666666667,81.23666666666666,11.138833333333334
RE9,Off,Bright,Low,1,37.516129032258064,44.225806451612904,72.18709677419355,98.93548387096774,117.14838709677419,81.49838709677418,9.610000000000001
RE9,Off,Bright,Low,2,37.2875,44.515625,72.2734375,98.984375,117.6859375,81.7609375,9.4465625
RE9,Off,Bright,Medium,1,38.031666666666666,43.86666666666667,72.20166666666667,97.28333333333333,109.16000000000001,81.395,10.582333333333334
RE9,Off,Bright,Medium,2,38.04848484848485,44.166666666666664,72.53787878787878,97.36363636363636,109.7530303030303,81.57121212121211,10.597575757575756
RE9,Off,Dark,High,1,24.99423076923077,43.25,71.45961538461539,85.23076923076923,111.02115384615385,81.45769230769231,10.979615384615386
RE9,Off,Dark,High,2,25.066101694915258,43.779661016949156,71.6135593220339,85.49152542372882,109.39152542372882,81.81525423728814,11.152033898305085
RE9,Off,Dark,Low,1,27.400000000000002,44.84905660377358,72.88301886792453,99.0,140.04905660377358,82.11698113207547,7.977169811320755
RE9,Off,Dark,Low,2,27.349999999999998,44.785714285714285,73.00714285714285,98.94642857142857,141.0142857142857,82.05357142857143,7.910178571428572
RE9,Off,Dark,Medium,1,25.51132075471698,44.60377358490566,71.14528301886791,85.81132075471699,116.5622641509434,81.84905660377359,10.317169811320754
RE9,Off,Dark,Medium,2,25.296296296296298,44.44444444444444,71.53148148148148,85.5,116.06111111111112,81.9148148148148,10.569074074074074
